text,polarity,subjectivity,Sentiment,Sentiment_label
Set Paris year retire old rich opera singer decide give fortune away beautiful cat Duchess voice Eva Gabor kitten jealous butler Edgar come plan kidnap cat leave countryside luckily help streetwise independent tomcat name Thomas OMalley voice Phil Harris help get home especially meet good friend like swinge Scat Cat voice Scatman Crothers try foil Edgars plansbr br entertain edgy postWalt Disneys death animate movie couple nice jazzy tune like memorable everybody want cat good voice act terrific animation time even time computer animation not one great Disney animate movie cult Disney animate fave one gem day work well highly recommend,0.3441666666666667,0.7248809523809523,Positive,1.0
I ve movie tape year start watch morning wait laundry ironic mostly want hear Benjamin Frankels title music end sit first half hour entrance wonderfully assure direction writing performance movie like who s s british character star Cecil Parker Michael Gough Miles Malleson Duncan Lamont particularly Ernest Thesiger great dessicate old giant textile mill not mention Alec Guinness Joan Greenwood not character player charming charismatic lead science fiction pure form droll comedy well alltime classic hope no one ever try remake,0.3164965986394558,0.5607142857142857,Positive,1.0
love play football think movie great contain lot football good Hollywoodbollywood film glad award Parminder Nagra Kiera Knightley good Archie Punjabi Jonathon Rheyes Meyers great play coach Jazz Parminder Nagra loves play football parent want learn cook want get marry jazz start play football team secretly meet Juliet Kiera Knightlety Joe Jonathon Rhyes Meyers coach parent find trouble strike dad let play big match sister Pinky Archie Punjabis wedding end parent realise much love football let go abroad play,0.39,0.5900000000000001,Positive,1.0
Fred Astaire Ginger Rogers never make anything great film together although not one good excellent musical outstanding musical number good support Randolph Scott two notable appearance Betty Grable Lucille Ball make memorable early screen performance Ball particularly good blonde well Lets Face Music Dance one musical duos good number ever Harriet Hilliard well know Harriet Nelson Ozzie Harriet play Ginger Rogers sister basic plot pretty familiar cast exceptional work excellent art direction score,0.4469298245614035,0.5499999999999999,Positive,1.0
hitch lighthearte comedy entertain fine performance Smith turn believable performance cloak dagger Date Doctor must remain invisible protect client profession Smith excellent never schmaltze muchbr br good piece acting go actor do not know name play accountant fall woman league actor excellent job character development listen Smiths direction end can not help really isbr br end that s main message film love you ll OKbr br time Smith meet attractive lady Date Doctor get taste medicine slowly fall woman do not know name pretty good toobr br overall delightful light movie definitely worth see,0.44901960784313727,0.5607843137254902,Positive,1.0
truly magnificent heartwrenche film ripstein location spectacular extremely detailed well lit dialogue extraordinarily Garca Mrquez no doubt Fernando Lujn Marisa Paredes give we outstanding performance colonel wifebr br must see,0.5666666666666667,0.905,Positive,1.0
Vow cherish wonderful movie base novel title equally good though different film really make think you d respond shoe character recommend anyone ever love parent spouse family memberin word everyonebr br though production be not quite Hollywood qualityno big special effectsstill value ideal portray make cast wonderful job capture emotional connection family member devastation occur one become illbr br do not want miss,0.35064935064935066,0.6655844155844156,Positive,1.0
minor quibble film grow know STAIRWAY HEAVEN fact wonderful RAYMOND MASSEY relegate last twenty minute trial scene trial imo least interesting portion fascinating fantasybr br David NIVEN KIM HUNTER wonderfully cast young lover ROGER LIVESEY give lively credible performance french accented marius goring delight even get remark Technicolor heavenly messenger send reclaim Niven wartime death go unreported due oversight gore wittiest line deliver relishbr br see tonight tcm first time twenty year think supreme example wonderful year film Technicolor photography somewhat subdue not garish excellent way shift BW heavenly sequence do great imagination effectivenessbr br opening scene sort really draw view fantasy aspect storyand Nivens tense talk radio operator Hunter plane crash toward earth unexpectedly lead memorable romantic encounter truly marvelous film beginning end another triumph Michael Powell Emeric Pressburger,0.3686507936507936,0.6083333333333333,Positive,1.0
John Carpenters Thing hand good horror film ever make not also personal favorite film time make movie great hard put finger everything seem work thing one rare occasion everything seem fall place film even superior Alien create type moody atmospheric hell fact not gore wonderful btw able create paranoia unmatched film truly wonderful film worship horror buff anyone good taste film,0.43525641025641026,0.6897435897435897,Positive,1.0
find storyline movie interesting well leave usual sex violence they re get old insert many movie movie well do flashback day go area Southwest acting also superb,0.30833333333333335,0.4083333333333334,Positive,1.0
movie well do respect act superb along fine audio soundtrack purchase move time favorite movie ahead eastwood white hunterblack heart movie simply bestbr br cheer zuf,0.38333333333333336,0.5714285714285714,Positive,1.0
fan Andy Goldsworthys art owning book expectation would see get something completely satisfy quite bit expect artist work clay finding inspiration within surrounding make good art imperative something Andy Goldsworthy master follow course year director capture spontaneous energy skill devotion artist connection nature dratic inspire flair music set film embrace intoxicate artist need inspiration anyone else need uplifting experience see MOVIE one glad know Andy somewhere create dancing wrestling force nature make world beautiful,0.55,0.78,Positive,1.0
lucky enough extra great film love every minute film go premier London great chat Phil Peter Martin Jon wifefantastic party week later trip cinema member bike club brilliant film deserve great biker film DVD Sue wife can not get enough neither kid get bit stick club seem think I m film star oh well one dream think jealous downside first part film weather rain rain rain hey Wales hopefully follow keep post Jon Danny Beck,0.3984848484848485,0.556060606060606,Positive,1.0
fabulous film Rented DVD recently floor stunning piece work Douglas Sirk filmmaking genius get performance Rock Hudson Dorothy Malone Oscar winner Robert Stack Oscar nominate Lauren Bacall word can not describe Paul Verhoeven brilliantly pay homage film Dorothy Malone play Sharon Stones murder inspirational guru Basic Instinct great jokebr br turn film hilarious rivet campy bite trashy compelling eye rolling definately grandaddy every tawdry bigandlittle screen soap opera none dazzle style like you ll see camera work smooth polished use color breathtaking opening montage set title song beyond memorable one dimensional character unforgettable final image scratch head censor back let make final cutbr br old highly regard film sometimes bore chore sit Written Wind contain much go fast actually shame end Thank Mr Sirk craft Todd Haynes draw attention become one favorite film time SEE MOVIE,0.36,0.6983333333333333,Positive,1.0
okay love movie watch hard tell attacker keep think one person another back first person another person suspense full want fast forward tv end see isbr br SUMMARY Gail Osborne rape leave home hospital begin tell story rape go meet steady boyfriend teacher take like exboyfriend different story suspect itbr br love act lot great talent suspense wonderful setting superb come tv watch star,0.38269230769230766,0.5826923076923076,Positive,1.0
begin ride horse fairly recently anyone ever ridden know fall love horse world rent Spirit whim try pack life full much horse relate material could surprised resultsbr br expect feelgood Disneyesque movie talk animal stereotype every five minutesbr br get amazing film fill beautiful scenery animation amazing storyline great potential warm one heartbr br Spirit wild mustang Old West whose entire world bring crumble around discover human slowly take homeland story unfold wide array character human animal well write pleasant watch screenbr br would recommend movie anyone enjoy good story appreciation history animalsbr br one thing forgot mention feel important animal film not talk really nice vacation Lady Tramp animate movie everyone today use,0.3144927536231884,0.606159420289855,Positive,1.0
Cowboys James Stewart Walter Brennan take herd Seattle Alaska Canada stake claim contend seductive shifty businesswoman Ruth Roman icecold happygolucky villain James McIntirebr br John Wayne may get talk good pal Stewart make excellent hardedge western great director Anthony Mann Frankly I d take sturdy action sequence fine melodrama North Alaska daybr br Far Country feature breathtake scenery cinematography definitely shoot widescreenbr br also there s strong support always reliable Brennan Roman who s great incredibly cute Corrine Calvet James McIntire play one favorite type bad guy kind do not take seriouslybr br would make great doublebill another highly recommend MannStewart northwestset western Bend River,0.3283333333333333,0.6105555555555555,Positive,1.0
friend see movie last night Austin show AGLIFF film festival movie one good I ve see year great comedy original heartfelt funny hell everyone audience laugh throughout entire movie Texas big state lots small town course plenty teenager grow fat girl know lot people relate film personal level Ashley Fink Robin de Jesus awesome great roll like script write mind speak script well write believable Ash great actor facial expression alone make giggle independent film do not let fool youits good one see caliber work someone young truly inspire,0.3197368421052631,0.5166666666666666,Positive,1.0
first view movie seem kind fairy tale beautiful significantly white horse see never forget however view strictly within context story implication survive immediate postcivil War America one horse not old horse truly great one Eagles Wing horse man worthy horse another matter Native American AWOL soldier story throughout pit primitivism civilisation say commentator ironic take english director perceive fact develop simple theme western like no you re ever likely see film basically beast savage harshness environment people scrape live photography soundtrack exquisite Martin Sheens performance revelation film release year Sheens great performance Willard Apocalypse hint ability somehow never give free rein Mores pity comparison two story throw surprising similarity not least film chart man journey soul order find redemption whereas Willard redeem leave viewer decide pike eventually end fabulous true sense word move warn Altogether extraordinary film,0.3110013175230567,0.5756728778467909,Positive,1.0
production build real danish crime story experience excellent direct act level nerve not often see crime serie every episode thrill seem like hole team believe life right murder murder responsibility solve output brilliantbr br viewer wonderfully fill entertained cause feel like focus purpose not lie WONT good timeo do not miss one right Band brother quality must see experience wonderful crime time,0.5714285714285714,0.6714285714285715,Positive,1.0
see movie limit release mainly novelty see Pierce Brosnan moustache turn one funniest movie see year start almost thriller steadily progress hilarious piece work full oneliner great comedic energy Pierce Brosnan Greg Kinnear also say movie comedy do not forget heart time touch need go theater do not know expect much moustache get one good movie see long time leave theater feel fulfil film plan see wide release recommend anyone appreciate good comedy wellwritten script big moustache,0.3121212121212121,0.49393939393939396,Positive,1.0
movie convoluted plot contrive set frankly could not follow surprising consider act dialogue could product kindergartener write like Kathy Ireland maybe you d want see movie probably make vehicle try get Hollywood goal would say hope do not invest much money production,0.44999999999999996,0.35,Positive,0.0
attempt toward romantic comedy one not work although film cast interesting manner dismal script betray good effort director fey mannerism may succeed adopt point view embarrassing watch William Baldwin particular Armin MullerStahl,0.3416666666666667,0.48333333333333334,Positive,0.0
one favourite book remember watch series love immensely sadly never see repeat able get dvd make impact never forget itbr br lead character perfect role especially lovely Bryan Brown although scene Australia not entirely keep book least unlike film version Virginia McKenna miss part altogetherbr br agree Gordon Jacksons character Strachan entirely different book still excellent information MOLEY strawn gaelic pronunciation Strachan,0.4388888888888889,0.7611111111111111,Positive,1.0
essence early eighty mall credit card machine food punk hair color soundtrack love movie sweet intelligent Romeo juliet teen flick instantly addictivebr br Martha Coolidge one favorite director really employ actor like John Hughes Steven Soderberg check Joy Sex Real Genius soundtrack Valley Girl great find copy film buy print hard come,0.3298611111111111,0.5090277777777777,Positive,1.0
like movie unlike thriller learn know killers well also get know two detective hunt killer two high school kid intelligent want prove smart police plan perfect crime know crime not turn perfect do not know catch may one even none way kind hope would get away although do not know movie intentionbr br story tell nice way start get know people involve character Sandra Bullock likable secret work Ben Chaplin pretty good Sam two kid great scene well scene moviebr br think say movie pretty good not predictable would think nice evening movie murder number good one,0.5043697478991596,0.7784033613445378,Positive,1.0
